title,slug,status,included_for_substack,body_html_chars,body_text_words,content_fields_used,missing_meta_title,missing_meta_description,missing_social_image
The Market for Your Honest Opinion Is Bigger Than You Think,the-market-for-your-honest-opinion-is-bigger-than-you-think,published,yes,11385,1729,Content | Layout five second half content,no,no,no
The Rehearsal tax,the-rehearsal-tax,published,yes,12053,1757,Content | Layout five second half content,no,no,no
The Secret Inside the Brown Box,the-secret-inside-the-brown-box,published,yes,11587,1694,Content | Layout five second half content,no,no,no
The Thermostat Effect,the-thermostat-effect,published,yes,13008,1838,Content | Layout five second half content,no,no,no
The Unicorn Trap and the road to ‘enlightenment’,the-unicorn-trap-and-the-road-to-enlightenment,published,yes,15745,1851,Content | Supporting Image and content | Blockquotes content,no,no,yes
The cartoonist monk who saved my life,the-cartoonist-monk-who-saved-my-life,published,yes,13042,1891,Content | Layout five second half content,no,no,no
The founders’ Olympics of suffering,the-founders-olympics-of-suffering,published,yes,9869,1195,Content | Layout five second half content,no,no,no
"To weave your startup story, invoke the storyteller in you",to-weave-your-startup-story-invoke-the-storyteller-in-you,published,yes,12242,1715,Content,no,no,yes
"Until Death, All Defeat Is Psychological",until-death-all-defeat-is-psychological,draft,yes,15861,1913,Content | Layout five second half content,no,no,no
Welcome to The Deliberate Pause,welcome-to-the-deliberate-pause,published,yes,2796,406,Content | Summary Content,yes,yes,yes
Your attention span holds a secret,your-attention-span-holds-a-secret,draft,yes,14286,1758,Content | Supporting Image and content | Blockquotes content,no,no,yes
Your boring routine comes with the power of compounding,your-boring-routine-comes-with-the-power-of-compounding,published,yes,14525,1744,Content,no,no,yes
"‘Rest assured’, this competitive advantage can set you apart",rest-assured-this-competitive-advantage-can-set-you-apart,draft,yes,15056,1915,Content | Supporting Image and content | Blockquotes content,no,no,yes
When Success Still Feels Empty,when-success-still-feels-empty,published,yes,15389,2299,Content | Layout five second half content,no,no,no
The Clauddiction Trap,the-clauddiction-trap,published,yes,11526,1775,Content | Layout five second half content,no,no,no
The Hidden Cost of Not Choosing Yourself,the-hidden-cost-of-not-choosing-yourself,published,yes,11902,1877,Content | Layout five second half content,no,no,no
The Cost of Becoming a People Pleaser,the-cost-of-becoming-a-people-pleaser,published,yes,11742,1881,Content | Layout five second half content,no,no,no
