order,title,date,slug,html_file,source_url,word_count
11,My 90-Hour Fast Revealed A Surprise I Never Expected,2025-09-15,my-90-hour-fast-revealed-a-surprise-i-never-expected,manual-html-posts/11-my-90-hour-fast-revealed-a-surprise-i-never-expected.html,https://www.thedeliberatepause.com/newsletter/my-90-hour-fast-revealed-a-surprise-i-never-expected,2256
12,My rejection experiment that can be your breakthrough,2025-11-03,my-rejection-experiment-that-can-be-your-breakthrough,manual-html-posts/12-my-rejection-experiment-that-can-be-your-breakthrough.html,https://www.thedeliberatepause.com/newsletter/my-rejection-experiment-that-can-be-your-breakthrough,1482
13,"No means,  no to hustle culture",2026-01-05,no-means-no-to-hustle-culture,manual-html-posts/13-no-means-no-to-hustle-culture.html,https://www.thedeliberatepause.com/newsletter/no-means-no-to-hustle-culture,1586
14,"Rejection hurts, but don’t let it be painful",2025-11-10,rejection-hurts-but-dont-let-it-be-painful,manual-html-posts/14-rejection-hurts-but-dont-let-it-be-painful.html,https://www.thedeliberatepause.com/newsletter/rejection-hurts-but-dont-let-it-be-painful,1395
15,Smart but stuck: When intelligence alone falls short of cracking the startup code,2025-10-27,smart-but-stuck-when-intelligence-alone-falls-short-of-cracking-the-startup,manual-html-posts/15-smart-but-stuck-when-intelligence-alone-falls-short-of-cracking-the-startup.html,https://www.thedeliberatepause.com/newsletter/smart-but-stuck-when-intelligence-alone-falls-short-of-cracking-the-startup,1302
16,"Someone is stealing your lifetime, literally",2025-09-08,someone-is-stealing-your-lifetime-literally,manual-html-posts/16-someone-is-stealing-your-lifetime-literally.html,https://www.thedeliberatepause.com/newsletter/someone-is-stealing-your-lifetime-literally,1253
17,Steve Jobs Wasn't Complete. Neither Are You,2026-01-19,steve-jobs-wasnt-complete-neither-are-you,manual-html-posts/17-steve-jobs-wasnt-complete-neither-are-you.html,https://www.thedeliberatepause.com/newsletter/steve-jobs-wasnt-complete-neither-are-you,1781
18,The Aliveness Paradox,2026-03-23,the-aliveness-paradox,manual-html-posts/18-the-aliveness-paradox.html,https://www.thedeliberatepause.com/newsletter/the-aliveness-paradox,1615
19,The Calendar Is Killing Your Peak Performance Moments,2025-09-01,the-calendar-is-killing-your-performance,manual-html-posts/19-the-calendar-is-killing-your-performance.html,https://www.thedeliberatepause.com/newsletter/the-calendar-is-killing-your-performance,1707
20,The Dark Side of Self-Love,2026-03-16,the-dark-side-of-self-love,manual-html-posts/20-the-dark-side-of-self-love.html,https://www.thedeliberatepause.com/newsletter/the-dark-side-of-self-love,1772
21,The False Sense  of Agency,2026-02-02,the-false-sense-of-agency,manual-html-posts/21-the-false-sense-of-agency.html,https://www.thedeliberatepause.com/newsletter/the-false-sense-of-agency,1857
22,The Low Status Moat Matters,2026-01-12,the-low-status-moat-matters,manual-html-posts/22-the-low-status-moat-matters.html,https://www.thedeliberatepause.com/newsletter/the-low-status-moat-matters,1793
23,The Market for Your Honest Opinion Is Bigger Than You Think,2026-04-06,the-market-for-your-honest-opinion-is-bigger-than-you-think,manual-html-posts/23-the-market-for-your-honest-opinion-is-bigger-than-you-think.html,https://www.thedeliberatepause.com/newsletter/the-market-for-your-honest-opinion-is-bigger-than-you-think,1729
24,The Rehearsal tax,2026-03-30,the-rehearsal-tax,manual-html-posts/24-the-rehearsal-tax.html,https://www.thedeliberatepause.com/newsletter/the-rehearsal-tax,1757
25,The Secret Inside the Brown Box,2026-03-02,the-secret-inside-the-brown-box,manual-html-posts/25-the-secret-inside-the-brown-box.html,https://www.thedeliberatepause.com/newsletter/the-secret-inside-the-brown-box,1694
26,The Thermostat Effect,2026-03-09,the-thermostat-effect,manual-html-posts/26-the-thermostat-effect.html,https://www.thedeliberatepause.com/newsletter/the-thermostat-effect,1838
27,The Unicorn Trap and the road to ‘enlightenment’,2025-12-15,the-unicorn-trap-and-the-road-to-enlightenment,manual-html-posts/27-the-unicorn-trap-and-the-road-to-enlightenment.html,https://www.thedeliberatepause.com/newsletter/the-unicorn-trap-and-the-road-to-enlightenment,1851
28,The cartoonist monk who saved my life,2026-01-26,the-cartoonist-monk-who-saved-my-life,manual-html-posts/28-the-cartoonist-monk-who-saved-my-life.html,https://www.thedeliberatepause.com/newsletter/the-cartoonist-monk-who-saved-my-life,1891
29,The founders’ Olympics of suffering,2026-02-23,the-founders-olympics-of-suffering,manual-html-posts/29-the-founders-olympics-of-suffering.html,https://www.thedeliberatepause.com/newsletter/the-founders-olympics-of-suffering,1195
30,"To weave your startup story, invoke the storyteller in you",2025-10-20,to-weave-your-startup-story-invoke-the-storyteller-in-you,manual-html-posts/30-to-weave-your-startup-story-invoke-the-storyteller-in-you.html,https://www.thedeliberatepause.com/newsletter/to-weave-your-startup-story-invoke-the-storyteller-in-you,1715
31,"Until Death, All Defeat Is Psychological",2026-02-09,until-death-all-defeat-is-psychological,manual-html-posts/31-until-death-all-defeat-is-psychological.html,https://www.thedeliberatepause.com/newsletter/until-death-all-defeat-is-psychological,1913
32,Welcome to The Deliberate Pause,2025-08-18,welcome-to-the-deliberate-pause,manual-html-posts/32-welcome-to-the-deliberate-pause.html,https://www.thedeliberatepause.com/newsletter/welcome-to-the-deliberate-pause,406
33,Your attention span holds a secret,2025-12-01,your-attention-span-holds-a-secret,manual-html-posts/33-your-attention-span-holds-a-secret.html,https://www.thedeliberatepause.com/newsletter/your-attention-span-holds-a-secret,1758
34,Your boring routine comes with the power of compounding,2025-10-13,your-boring-routine-comes-with-the-power-of-compounding,manual-html-posts/34-your-boring-routine-comes-with-the-power-of-compounding.html,https://www.thedeliberatepause.com/newsletter/your-boring-routine-comes-with-the-power-of-compounding,1744
35,"‘Rest assured’, this competitive advantage can set you apart",2025-11-24,rest-assured-this-competitive-advantage-can-set-you-apart,manual-html-posts/35-rest-assured-this-competitive-advantage-can-set-you-apart.html,https://www.thedeliberatepause.com/newsletter/rest-assured-this-competitive-advantage-can-set-you-apart,1915
36,When Success Still Feels Empty,2026-04-27,when-success-still-feels-empty,manual-html-posts/36-when-success-still-feels-empty.html,https://www.thedeliberatepause.com/newsletter/when-success-still-feels-empty,2299
37,The Clauddiction Trap,2026-05-04,the-clauddiction-trap,manual-html-posts/37-the-clauddiction-trap.html,https://www.thedeliberatepause.com/newsletter/the-clauddiction-trap,1775
38,The Hidden Cost of Not Choosing Yourself,2026-05-11,the-hidden-cost-of-not-choosing-yourself,manual-html-posts/38-the-hidden-cost-of-not-choosing-yourself.html,https://www.thedeliberatepause.com/newsletter/the-hidden-cost-of-not-choosing-yourself,1877
39,The Cost of Becoming a People Pleaser,2026-05-18,the-cost-of-becoming-a-people-pleaser,manual-html-posts/39-the-cost-of-becoming-a-people-pleaser.html,https://www.thedeliberatepause.com/newsletter/the-cost-of-becoming-a-people-pleaser,1881
